,user_id,profile_title,profile_summary
12941,35395960,--,
12952,35427310,Nurse at self,
5,1007259,Employee,
9,1025085,Técnico en Mecánica | Estudiante de Mecatrónica en UTN,"Soy Técnico en Mecánica y estudiante de Mecatrónica. Tengo experiencia en diversos sectores en los que pude aprender y desarrollar nuevas habilidades en administración, marketing, atención al cliente, herramientas de ofimática, entre otras, como pueden observar con mayor nivel de detalle en el sector Experiencia. Actualmente también me encuentro estudiando Diseño de Interfaces Digitales y diversas habilidades blandas en Platzi. Soy inquieto, curioso, amante del conocimiento. Sigo constantemente las novedades en lo que respecta a tendencias y herramientas digitales."
15,1036366,Former Medical Laboratory Scientist In National Hospital Of Sri Lanka,"PROFESSIONAL SUMMARY   &   SKILLS•Experienced medical laboratory technologist with more than ten years of experience at the largest government hospital and bachelor's degree in medical laboratory sciences. •Recruit as a key member of the healthcare team specializing in all laboratory processes, focusing on each patient sample to ensure the highest accuracy levels for sample integrity, as well as for overall patient quality care.•Excellent technical and clinical laboratory skills, with commended performance conducting/analyzing laboratory assays and resolving complex clinical and instrument problems.•Accurate, reliable, diligent and focused on the timely, quality completion of all lab procedures and work well under pressure and time constraints within high-volume environments.•Communicate across multiple roles and business units, including with Nurses, Imaging Services Technologists and Physicians.PROFESSIONAL EXPERIENCEMedical Laboratory TechnologistDepartment of Pathology ,National Hospital of Sri Lanka, Colombo .[ +94112691111  ]"
30,1089238,宁夏三建 — 装修工,
44,1117079,,
67,1189077,ادارة اعمال في شركة أوراسكوم,
311,1836475,...,ختاماً الطموح للوصول إلى اقصى ما يجب أن أحقق من أهداف وكذلك محاولة الوصل إلى الاحلام
194,1499942,--,
