main_contract,mapped_contract,multiplier
R.CN.CFE.IC.0004,F.CN.CFE.IC.IC2401,200
R.CN.CFE.IF.0004,F.CN.CFE.IF.IF2401,300
R.CN.CFE.IH.0004,F.CN.CFE.IH.IH2401,300
R.CN.CFE.IM.0004,F.CN.CFE.IM.IM2401,200
R.CN.CFE.T.0004,F.CN.CFE.T.T2403,10000
R.CN.CFE.TF.0004,F.CN.CFE.TF.TF2403,10000
R.CN.CFE.TL.0004,F.CN.CFE.TL.TL2403,10000
R.CN.CFE.TS.0004,F.CN.CFE.TS.TS2403,20000
R.CN.CZC.AP.0004,F.CN.CZC.AP.AP2405,10
R.CN.CZC.CF.0004,F.CN.CZC.CF.CF2405,5
R.CN.CZC.CJ.0004,F.CN.CZC.CJ.CJ2405,5
R.CN.CZC.CY.0004,F.CN.CZC.CY.CY2405,5
R.CN.CZC.FG.0004,F.CN.CZC.FG.FG2405,20
R.CN.CZC.JR.0004,F.CN.CZC.JR.JR2401,20
R.CN.CZC.MA.0004,F.CN.CZC.MA.MA2405,10
R.CN.CZC.OI.0004,F.CN.CZC.OI.OI2405,10
R.CN.CZC.PF.0004,F.CN.CZC.PF.PF2403,5
R.CN.CZC.PK.0004,F.CN.CZC.PK.PK2403,5
R.CN.CZC.PX.0004,F.CN.CZC.PX.PX2405,5
R.CN.CZC.RI.0004,F.CN.CZC.RI.RI2401,20
R.CN.CZC.RM.0004,F.CN.CZC.RM.RM2403,10
R.CN.CZC.SA.0004,F.CN.CZC.SA.SA2405,20
R.CN.CZC.SF.0004,F.CN.CZC.SF.SF2403,5
R.CN.CZC.SH.0004,F.CN.CZC.SH.SH2405,30
R.CN.CZC.SM.0004,F.CN.CZC.SM.SM2403,5
R.CN.CZC.SR.0004,F.CN.CZC.SR.SR2405,10
R.CN.CZC.TA.0004,F.CN.CZC.TA.TA2405,5
R.CN.CZC.UR.0004,F.CN.CZC.UR.UR2405,20
R.CN.CZC.WH.0004,F.CN.CZC.WH.WH2401,20
R.CN.CZC.ZC.0004,F.CN.CZC.ZC.ZC2401,100
R.CN.DCE.a.0004,F.CN.DCE.a.a2403,10
R.CN.DCE.b.0004,F.CN.DCE.b.b2402,10
R.CN.DCE.c.0004,F.CN.DCE.c.c2405,10
R.CN.DCE.cs.0004,F.CN.DCE.cs.cs2403,10
R.CN.DCE.eb.0004,F.CN.DCE.eb.eb2402,5
R.CN.DCE.eg.0004,F.CN.DCE.eg.eg2405,10
R.CN.DCE.fb.0004,F.CN.DCE.fb.fb2401,10
R.CN.DCE.i.0004,F.CN.DCE.i.i2405,100
R.CN.DCE.j.0004,F.CN.DCE.j.j2405,100
R.CN.DCE.jd.0004,F.CN.DCE.jd.jd2403,10
R.CN.DCE.jm.0004,F.CN.DCE.jm.jm2405,60
R.CN.DCE.l.0004,F.CN.DCE.l.l2405,5
R.CN.DCE.lh.0004,F.CN.DCE.lh.lh2403,16
R.CN.DCE.m.0004,F.CN.DCE.m.m2405,10
R.CN.DCE.p.0004,F.CN.DCE.p.p2405,10
R.CN.DCE.pg.0004,F.CN.DCE.pg.pg2402,20
R.CN.DCE.pp.0004,F.CN.DCE.pp.pp2405,5
R.CN.DCE.rr.0004,F.CN.DCE.rr.rr2402,10
R.CN.DCE.v.0004,F.CN.DCE.v.v2405,5
R.CN.DCE.y.0004,F.CN.DCE.y.y2405,10
R.CN.GFEX.lc.0004,F.CN.GFEX.lc.lc2407,1
R.CN.GFEX.si.0004,F.CN.GFEX.si.si2402,5
R.CN.INE.bc.0004,F.CN.INE.bc.bc2403,5
R.CN.INE.ec.0004,F.CN.INE.ec.ec2404,1
R.CN.INE.lu.0004,F.CN.INE.lu.lu2404,10
R.CN.INE.nr.0004,F.CN.INE.nr.nr2403,10
R.CN.INE.sc.0004,F.CN.INE.sc.sc2402,1000
R.CN.SHF.ag.0004,F.CN.SHF.ag.ag2402,15
R.CN.SHF.al.0004,F.CN.SHF.al.al2402,5
R.CN.SHF.ao.0004,F.CN.SHF.ao.ao2403,20
R.CN.SHF.au.0004,F.CN.SHF.au.au2404,1000
R.CN.SHF.br.0004,F.CN.SHF.br.br2403,5
R.CN.SHF.bu.0004,F.CN.SHF.bu.bu2403,10
R.CN.SHF.cu.0004,F.CN.SHF.cu.cu2402,5
R.CN.SHF.fu.0004,F.CN.SHF.fu.fu2403,10
R.CN.SHF.hc.0004,F.CN.SHF.hc.hc2405,10
R.CN.SHF.ni.0004,F.CN.SHF.ni.ni2402,1
R.CN.SHF.pb.0004,F.CN.SHF.pb.pb2402,5
R.CN.SHF.rb.0004,F.CN.SHF.rb.rb2405,10
R.CN.SHF.ru.0004,F.CN.SHF.ru.ru2405,10
R.CN.SHF.sn.0004,F.CN.SHF.sn.sn2402,1
R.CN.SHF.sp.0004,F.CN.SHF.sp.sp2405,10
R.CN.SHF.ss.0004,F.CN.SHF.ss.ss2402,5
R.CN.SHF.zn.0004,F.CN.SHF.zn.zn2402,5
